,question_title,question_type
95,Convert INT to DATETIME (SQL),2
96,"Error 1046 No database Selected, how to resolve?",2
97,Warning: mysql_connect(): [2002] No such file or directory (trying to connect via unix:///tmp/mysql.sock) in,2
98,Difference between div id and div class,0
99,"What is the difference between public, private, protected, and having no access modifier?",0
100,C# loop - break vs. continue,0
101,Interface vs Abstract Class (general OO),0
102,"What's your favorite ""programmer"" cartoon?",0
103,"Difference between private, public, and protected inheritance",0
104,Hidden Features of C#?,0
105,Why does Java have transient fields?,0
106,"WhatÃ©ÂÂ¥Ã¦ÂªÂ the difference between ""Array()"" and ""[]"" while declaring a JavaScript array?",0
107,What is the difference between Views and Materialized Views in Oracle?,0
108,What is the difference between application server and web server?,0
109,How do I set a column value to NULL in SQL Server Management Studio?,1
110,Get Value of a Edit Text field,1
111,Decode Base64 data in Java,1
112,How do I position one image on top of another in HTML?,1
113,LINQ's Distinct() on a particular property,1
114,How to create a generic array in Java?,1
115,Extracting extension from filename in Python,1
116,How to replace a character by a newline in Vim?,1
117,Showing which files have changed between two revisions,1
118,PHP Pass variable to next page,1
119,How do I use raw_input in Python 3,1
120,Command to collapse all sections of code?,1
121,Asynchronously load images with jQuery,2
122,unbound method f() must be called with fibo_ instance as first argument (got classobj instance instead),2
123,"Failed to connect to mailserver at ""localhost"" port 25",2
124,Strange out of memory issue while loading an image to a Bitmap object,2
125,"Cannot simply use PostgreSQL table name (""relation does not exist"")",2
126,ASP.NET Custom Validator Client side & Server Side validation not firing,2
127,Could not establish trust relationship for SSL/TLS secure channel -- SOAP,2
128,Access restriction on class due to restriction on required library rt.jar?,2
129,How to Concatenate Numbers and Strings to Format Numbers in T-SQL?,2
130,Best Free Text Editor Supporting *More Than* 4GB Files?,0
131,Equivalent of String.format in jQuery,0
132,Optimistic vs. Pessimistic locking,0
133,What is the equivalent of Java's final in C#?,0
134,Why does 2 mod 4 = 2?,0
135,Hidden Features of Xcode,0
136,What are POD types in C++?,0
137,What is the difference between a framework and a library?,0
138,Multiple Indexes vs Multi-Column Indexes,0
139,Environment variable to control java.io.tmpdir?,0
140,What are the applications of binary trees?,0
141,Use 'class' or 'typename' for template parameters?,0
142,Why use a READ UNCOMMITTED isolation level?,0
143,Do you need to dispose of objects and set them to null?,0
144,Is there any WinSCP equivalent for linux?,0
145,How to show Error & Warning Message Box in .NET/ How to Customize MessageBox,1
146,"C# Syntax - Split String into Array by Comma, Convert To Generic List, and Reverse Order",0
147,Cross-Domain Cookies,0
148,iPad browser WIDTH & HEIGHT standard,0
149,MySQL: Set user variable from result of query,0
150,What is the yield keyword used for in C#?,0
151,Best practice to run Linux service as a different user,0
152,Why can't I do ?,0
153,What is the LD_PRELOAD trick?,0
154,Connection timeout for SQL server,0
155,End of File (EOF) in C,0
156,Unix tail equivalent command in Windows Powershell,0
157,What is the difference between instanceof and Class.isAssignableFrom(...)?,0
158,"What are the uses of ""using"" in C#",0
159,What's the quickest way to multiply multiple cells by another number?,0
160,SQL left join vs multiple tables on FROM line?,0
161,Does VBA have Dictionary Structure?,0
162,accessing a variable from another class,1
163,POST data in JSON format,1
164,AWS ssh access 'Permission denied (publickey)' issue,1
165,RegEx: Grabbing values between quotation marks,1
166,How to decrypt a password from SQL server?,1
167,How to draw a dotted line with css?,1
168,Run a single test method with maven,1
169,SQL selecting rows by most recent date,1
170,How to get the Android device's primary e-mail address,1
171,"How to insert text in a td with id, using JavaScript",1
172,Create table (structure) from existing table,1
173,What parameters should I use in a Google Maps URL to go to a lat-lon?,1
174,How to add a PHP page to WordPress?,1
175,Strtotime() doesn't work with dd/mm/YYYY format,1
176,Disable validation of HTML5 form elements,1
177,Find and replace string values in Python list,1
178,Border for an Image view in Android?,1
179,How do I base64 encode (decode) in C?,1
180,How to get a password from a shell script without echoing,1
181,How can I compile a Java program in Eclipse without running it?,1
182,How can I remove a button or make it invisible in Android?,1
183,How to process a file in PowerShell line-by-line as a stream,1
184,Remove first 4 characters of a string with PHP,1
185,How to run .APK file on emulator,1
186,How to keep the console window open in Visual C++?,1
187,How do I fix the indentation of an entire file in Vi?,1
188,Formula to determine brightness of RGB color,1
189,How do you clone an Array of Objects in Javascript?,1
190,Change color and appearance of drop down arrow,1
191,Loop through the rows of a particular DataTable,1
192,Select unique or distinct values from a list in UNIX shell script,1
193,Interface defining a constructor signature?,1
194,Timeout a command in bash without unnecessary delay,1
195,PHP - Simple way to read single record from MySQL,1
196,Sending HTML email using Python,1
197,Insert text into textarea with jQuery,1
198,How do I use boolean variables in Perl?,2
199,WCFTestClient The HTTP request is unauthorized with client authentication scheme 'Anonymous',2
200,Read String line by line,2
201,Changing upload_max_filesize on PHP,2
202,MySQL LIKE IN()?,2
203,JavaScript replace/regex,2
204,"Permission denied (publickey,keyboard-interactive)",2
205,LINQ: When to use SingleOrDefault vs. FirstOrDefault() with filtering criteria,2
206,Overriding the java equals() method - not working?,2
207,Ajax success event not working,2
208,Download and open PDF file using Ajax,2
209,How to clear jQuery validation error messages?,2
210,java.lang.IllegalStateException: Cannot (forward | sendRedirect | create session) after response has been committed,2
211,Reading from text file until EOF repeats last line,2
212,"""The breakpoint will not currently be hit.",2
213,Avoid duplicates in INSERT INTO SELECT query in SQL Server,2
214,How do I truncate a .NET string?,2
215,"Sending email with attachments from C#, attachments arrive as Part 1.2 in Thunderbird",2
216,Fastest way to determine if an integer's square root is an integer,2
217,Android: Add a textview to linear layout programmatically,2
218,"How to fix ""Referenced assembly does not have a strong name"" error?",2
219,"Easy interview question got harder: given numbers 1..100, find the missing number(s)",2
220,Can I embed a custom font in an iPhone application?,2
221,jQuery UI Dialog Box - does not open after being closed,2
222,How to check for a Null value in VB.NET,2
223,POST request via RestTemplate in JSON,2
224,How to convert QString to std::string?,2
225,How to trigger jQuery change event in code,2
226,How to make a phone call using intent in Android?,2
227,Hibernate cannot simultaneously fetch multiple bags,2
228,SSL_connect returned=1 errno=0 state=SSLv3 read server certificate B: certificate verify failed,2
229,How can I add a column to a Postgresql database that doesn't allow nulls?,2
230,How to debug JavaScript / jQuery event bindings with Firebug or similar tools?,2
231,Error handling in Bash,2
232,How do I pass multiple parameters in Objective-C?,2
233,How to add directory to classpath in an application run profile in IntelliJ IDEA?,2
234,How to use wait and notify in Java without IllegalMonitorStateException?,2
235,Write to UTF-8 file in Python,2
236,What is the standard way to add N seconds to datetime.time in Python?,0
237,What is (functional) reactive programming?,0
238,Is there a way to make HTML5 video fullscreen?,0
239,Python loop counter in a for loop,0
240,What is the Java equivalent for LINQ?,0
241,NOT IN clause and NULL values,0
242,What should I set JAVA_HOME to on OSX,0
243,Symbolicating iPhone App Crash Reports,0
244,Polymorphism vs Overriding vs Overloading,0
245,"What is the ""assert"" function?",0
246,What's the best way to validate an XML file against an XSD file?,0
247,Is there a way to word-wrap long words in a div?,0
248,Groovy String to int,0
249,I never really understood: what is POSIX?,0
250,"What are the differences between the urllib, urllib2, and requests module?",0
251,Relative Paths in Javascript in an external file,0
252,vector vs. list in STL,0
253,Why doesn't Java allow overriding of static methods?,0
254,Can an int be null in Java?,0
255,What is the best JavaScript code to create an img element,0
256,Things possible in IntelliJ that aren't possible in Eclipse?,0
257,Want custom title / image / description in facebook share link from a flash app,0
258,Role of Bias in Neural Networks,0
259,How Does Modulus Divison Work,0
260,INNER JOIN vs LEFT JOIN performance in SQL Server,0
261,Is there a JavaScript/jQuery DOM change listener?,0
262,Which passwordchar shows a black dot (Ã©Â? in a winforms textbox?,0
263,What does jQuery.fn mean?,0
264,What's the difference between fill_parent and wrap_content?,0
265,What is ultimately a time_t typedef to?,0
266,What is the difference between function and procedure in PL/SQL?,0
267,Why is using the JavaScript eval function a bad idea?,0
268,Capture screenshot of active window?,1
269,How do I lock the orientation to portrait mode in a iPhone Web Application?,1
270,How do I run PHP code when a user clicks on a link?,1
271,Use jquery to set value of div tag,1
272,Configuring Git over SSH to login once,1
273,Python - How do I pass a string into subprocess.Popen (using the stdin argument)?,1
274,Getting attributes of Enum's value,1
275,How can I process each letter of text using Javascript?,1
276,How to check visibility of software keyboard in Android?,1
277,How do I make my string comparison case insensitive?,1
278,How do I escape a single quote?,1
279,How to change checkbox's border style in CSS?,1
280,"How to convert a JSON string to a Map<String, String> with Jackson JSON",1
281,Switch statement for string matching in JavaScript,1
282,How to create a CPU spike with a bash command,1
283,Java how to replace 2 or more spaces with single space in string and delete leading and trailing spaces,1
284,HTML checkbox onclick called in Javascript,1
285,Returning multiple values from a C++ function,1
286,Run certain code every n seconds,1
287,Trim last character from a string,1
288,How to do joins in LINQ on multiple fields in single join,1
289,How can I clone an SQL Server database on the same server in SQL Server 2008 Express?,1
290,Calculating Pearson correlation and significance in Python,1
291,How to replace special characters in a string?,1
292,Force SSL/https using .htaccess and mod_rewrite,1
293,How to go from one page to another page using javascript?,1
294,Search for all occurrences of a string in a mysql database,1
295,Sort a single String in Java,1
296,How to add element to C++ array?,1
297,How do I remove all .pyc files from a project?,1
298,use space as a delimiter with cut command,1
299,How do I calculate a point on a circleÃ©ÂÂ¥Ã¦ÂªÂ circumference?,1
300,std::string to float or double,2
301,What is the syntax for an inner join in LINQ to SQL?,0
302,What is stdClass in PHP?,0
303,What is the best way to filter a Java Collection?,0
304,What is the difference between MVC and MVVM?,0
305,What is an unsigned char?,0
306,What is a StackOverflowError?,0
307,What is the difference between Set and List?,0
308,What is the difference between Integrated Security = True and Integrated Security = SSPI?,0
309,"What is a correct mime type for docx, pptx etc?",0
310,What is Node.js?,0
311,What is a segmentation fault?,0
312,What is a stored procedure?,0
313,What is a JavaBean exactly?,0
314,"What is the reason behind ""non-static method cannot be referenced from a static context""?",0
315,What is the difference between a deep copy and a shallow copy?,0
316,What is the scope of variables in JavaScript?,0
317,What is a smart pointer and when should I use one?,0
318,"What is the ""continue"" keyword and how does it work in Java?",0
319,What is a race condition?,0
320,"What is the difference between #include <filename> and #include ""filename""?",0
321,What is the difference between visibility:hidden and display:none?,0
322,"What is polymorphism, what is it for, and how is it used?",0
323,What is JSON and why would I use it?,0
324,What is an index in SQL?,0
325,What is the command to truncate a SQL Server log file?,0
326,"Server.MapPath("".",0
327,What is the best way to remove a table row with jQuery?,0
328,"What is the equivalent of the C++ Pair<L,R> in Java?",0
329,What is so bad about singletons?,0
330,What is JSONP all about?,0
331,What is correct content-type for excel files?,0
332,What is simplest way to read a file into String?,0
333,How to convert String object to Boolean Object?,1
334,How to get a JavaScript object's class?,1
335,How to run an EXE file in PowerShell with parameters with spaces and quotes,1
336,How to declare variable and use it in the same SQL script?,1
337,How to set the current working directory?,1
338,How to find the port for MS SQL Server 2008?,1
339,How to create empty text file from a batch file?,1
340,How to call a method after a delay in Android,1
341,How to convert an array to object in PHP?,1
342,How to iterate over arguments in a Bash script,1
343,How to prevent auto-closing of console after the execution of batch file.,1
344,How to create an array of object literals in a loop?,1
345,How to switch databases in psql?,1
346,How to handle command-line arguments in PowerShell,1
347,CSS div element - how to show horizontal scroll bars only?,1
348,"How to convert Milliseconds to ""X mins, x seconds"" in Java?",1
349,How to get a random number in Ruby,1
350,How to count the number of set bits in a 32-bit integer?,1
351,How to set the authorization header using curl,1
352,How to check if a program exists from a Bash script?,1
353,How to get(extract) a file extension in PHP?,1
354,How to check if an object is a list or tuple (but not string)?,1
355,How to convert byte array to string and vice versa?,1
356,How to upload files to server using JSP/Servlet?,1
357,How to see the changes between two commits without commits in-between?,1
358,How to initialize log4j properly?,1
359,How to uninstall Python 2.7 on a Mac OS X 10.6.4?,1
360,How to unzip a file using the command line?,1
361,How to find the foreach index,1
362,How to add onload event to a div element?,1
363,How to create strings containing double quotes in Excel formulas?,1
364,How to execute a file within the python interpreter?,1
365,How to call a parent class function from derived class function?,1
366,Fixed Table Cell Width,2
367,Proper way to declare custom exceptions in modern Python?,2
368,Getting java.lang.ClassNotFoundException: org.apache.commons.logging.LogFactory exception,2
369,"Iterating through a Collection, avoiding ConcurrentModificationException when removing in loop",2
370,com.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure,2
371,MetadataException: Unable to load the specified metadata resource,2
372,How to fix java.net.SocketException: Broken pipe?,2
373,"Why would a ""java.net.ConnectException: Connection timed out"" exception occur when URL is up?",2
374,Error message 'Unable to load one or more of the requested types.,2
375,Why do I get an UnsupportedOperationException when trying to remove an element from a List?,2
376,System.Security.SecurityException when writing to Event Log,2
377,Eclipse - java.lang.ClassNotFoundException,2
378,The type initializer for 'MyClass' threw an exception,2
379,"""Exception has been thrown by the target of an invocation"" error (mscorlib)",2
380,"""Too many values to unpack"" Exception",2
381,android.view.InflateException: Binary XML file line #12: Error inflating class <unknown>,2
382,java.util.zip.ZipException: error in opening zip file,2
383,java.net.SocketException: Software caused connection abort: recv failed,2
384,javax.faces.application.ViewExpiredException: View could not be restored,2
385,IllegalMonitorStateException on wait() call,2
386,hibernate exception: org.hibernate.AnnotationException: No identifier specified for entity: com..domain.idea.MAE_MFEView,2
387,'System.OutOfMemoryException' was thrown when there is still plenty of memory free,2
388,How to solve COM Exception Class not registered (Exception from HRESULT: 0x80040154 (REGDB_E_CLASSNOTREG))?,2
389,Content is not allowed in Prolog SAXParserException,2
390,hibernate: LazyInitializationException: could not initialize proxy,2
391,"Android 1.6: ""android.view.WindowManager$BadTokenException: Unable to add window -- token null is not for an application""",2
392,ClassNotFoundException com.mysql.jdbc.Driver,2
393,Hibernate Error: org.hibernate.NonUniqueObjectException: a different object with the same identifier value was already associated with the session,2
394,How to avoid a System.Runtime.InteropServices.COMException?,2
395,"C# Error ""The type initializer for ... threw an exception",2
396,java.net.MalformedURLException: no protocol,2
397,com.jcraft.jsch.JSchException: UnknownHostKey,2
398,What is JavaScript's highest integer value that a number can go to without losing precision?,0
399,Why are Python lambdas useful?,0
400,Check whether variable is number or string in JavaScript,1
401,Using cURL with a username and password?,1
402,Numpy array dimensions,0
403,How do I convert a column of text URLs into active hyperlinks in Excel?,1
404,"In C, how should I read a text file and print all strings",1
405,Pass Method as Parameter using C#,1
406,How can I deserialize JSON to a simple Dictionary in ASP.NET?,1
407,Inserting a pdf file in latex,1
408,Finding local IP addresses using Python's stdlib,1
409,How do I debug Node.js applications?,1
410,Finding duplicate values in MySQL,1
411,Is there a Boolean data type in Microsoft SQL Server like there is in MySQL?,0
412,Can grep show only words that match search pattern?,1
413,jQuery selectors on custom data attributes using HTML5,1
414,How can I return multiple values from a function in C#?,1
415,"""Conversion to Dalvik format failed with error 1"" on external JAR",2
416,Using jQuery to center a DIV on the screen,1
417,Binding a WPF ComboBox to a custom list,2
418,How do I calculate someone's age in C#?,1
419,"Move existing, uncommitted work to a new branch in Git",1
420,How do I ignore files in Subversion?,1
421,How do I change the data type for a column in MySQL?,1
422,'has_key()' or 'in'?,0
423,What is a typedef enum in Objective-C?,0
424,What are MVP and MVC and what is the difference?,0
425,"Port 80 is being used by SYSTEM (PID 4), what is that?",2
426,What is the current directory in a batch file?,0
427,CSS3 Border Opacity?,0
428,Why is Dictionary preferred over Hashtable?,0
429,How do I see what character set a MySQL database / table / column is?,1
430,Open terminal here in Mac OS finder,0
431,Difference between gravity and layout_gravity on Android,0
432,Append same text to every cell in a column in Excel,1
433,Difference between proxy server and reverse proxy server,0
434,How do I do a case-insensitive string comparison?,1
435,Is there a destructor for Java?,0
436,ASP.NET MVC controller actions that return JSON or partial html,1
437,Converting a string to an integer on Android,1
438,Return multiple values in JavaScript?,1
439,java.util.Date to XMLGregorianCalendar,1
440,Finding duplicate rows in SQL Server,1
441,How can I get dictionary key as variable directly in Python (not by searching from value)?,1
442,JavaScript error (Uncaught SyntaxError: Unexpected end of input),2
443,"Why doesn't ""cd"" work in a shell script?",0
444,Pretty git branch graphs,0
445,"JavaScript open in a new window, not tab",1
446,CSS: set background image with opacity?,1
447,List of Stored Procedures/Functions Mysql Command Line,1
448,Non-static variable cannot be referenced from a static context,2
449,LEFT OUTER JOIN in LINQ,0
450,HTTP status code for update and delete?,1
451,Difference between binary semaphore and mutex,0
452,How do you round UP a number in Python?,1
453,How does JavaScript .prototype work?,1
454,Java 256-bit AES Password-Based Encryption,0
455,Syntax for a single-line Bash infinite while loop,1
456,"Html.ActionLink as a button or an image, not a link",1
457,Difference between JOIN and INNER JOIN,0
458,"Is there a ""previous sibling"" CSS selector?",0
459,"What is the difference between public, private, and protected?",0
460,What is a daemon thread in Java?,0
461,What is attr_accessor in Ruby?,0
462,What is the !!,0
463,What is the best way to parse html in C#?,0
464,What is the equivalent of 'describe table' in SQL Server?,0
465,"What is the difference between SQL, PL-SQL and T-SQL?",0
466,"What is meant with ""const"" at end of function declaration?",0
467,What is the best way to test for an empty string with jquery-out-of-the-box?,0
468,"What is the difference between JSF, Servlet and JSP?",0
469,What is a good regular expression to match a URL?,0
470,What is Inversion of Control?,0
471,"What is the difference between const int*, const int * const, and int const *?",0
472,What is the difference between HTTP_HOST and SERVER_NAME in PHP?,0
473,What is SELF JOIN and when would you use it?,0
474,What is the best way to auto-generate INSERT statements for a SQL Server table?,0
475,"Explanation of ""ClassCastException"" in Java",0
476,Android: java.lang.SecurityException: Permission Denial: start Intent,2
477,exception in initializer error,2
478,com.mysql.jdbc.exceptions.jdbc4.CommunicationsException:Communications link failure,2
479,java.io.IOException: Server returned HTTP response code: 500,2
480,Java SecurityException: signer information does not match,2
481,"this.getClass().getClassLoader().getResource(""..."") and NullPointerException",2
482,NoInitialContextException error,2
483,"Why do I get ""Exception; must be caught or declared to be thrown"" when I try to compile my Java code?",2
484,IllegalArgumentException or NullPointerException for a null parameter?,2
485,java.io.FileNotFoundException: (Access is denied),2
486,c++ exception : throwing std::string,2
487,System.IO.IOException: file used by another process,2
488,"Why do I get the ""Unhandled exception type IOException""?",2
489,ResultSet exception - before start of result set,2
490,Java: unparseable date exception,2
491,Java Try and Catch IOException Problem,2
492,"How to solve ""java.io.IOException: error=12, Cannot allocate memory"" calling Runtime#exec()?",2
493,Why Response.Redirect causes System.Threading.ThreadAbortException?,2
494,javax.persistence.PersistenceException: No Persistence provider for EntityManager named customerManager,2
495,An error occurred while executing the command definition.,2
496,"C# : ""A first chance exception of type 'System.InvalidOperationException'""",2
497,.Net HttpWebRequest.GetResponse() raises exception when http status code 400 (bad request) is returned,2
498,How to resolve javax.mail.AuthenticationFailedException issue?,2
499,java.lang.RuntimeException: Uncompilable source code - what can cause this?,2
500,"Tokenizing Error: java.util.regex.PatternSyntaxException, dangling metacharacter '*'",2
501,Exception of type 'System.OutOfMemoryException' was thrown.,2
502,Uncaught Error: SECURITY_ERR: DOM Exception 18 when I try to set a cookie,2
503,How to sanity check a date in Java,1
504,Is there an application to generate Winform Code?,0
505,Catching window.print() from SWT Browser,1
506,Java Timestamp valueOf,1
507,"Code Synthesis doesn't seem to generate a ""valid"" xml tree",2
508,Client Customizations,0
509,"autocomplete algorithms, papers, strategies, etc",1
510,Compiling .cs from .Net Applications,1
511,What's the  best open source game to learn from?,0
512,How to edit EXIF data in .NET,1
513,What's the best way to get started in modern game programming and application programming?,1
514,Create SubSet of a dataSet ASP.Net,1
515,automatic incrementing filename,1
516,What is the default session timeout value in ASP.NET?,0
517,How can i make a Method that rounds to the next 5er digit?,1
518,How do I bind a ComboBox so the displaymember is concat of 2 fields of source datatable?,1
519,Where do I find the MysqlDumpSlow command?,0
520,Getting SlowAES and RijndaelManaged class in .NET to play together,2
521,Skype Addon in C#,0
522,Are there penalties for Enum Singletons?,0
523,Generating Postscript using PHP: browser offers to save file,0
524,MySQL: preferred column type for (product) prices?,0
525,Objective C class problem,0
526,ggplot2 Scatter Plot Labels,0
527,NHibernate to dynamically create/alter/delete tables,0
528,Best practice for structuring a 'large' Rails app,2
529,Checking if the class attribute is empty and then removing it if true with jQuery,0
530,WPF: Invalidate controls in ControlTemplate,2
531,TortoiseSVN identifies modified file - so why does svn diff report no differences?,0
532,FreeMM vs ShareMem,0
533,Creating an unlimited SqlServer Trace,2
534,PHP DateTime microseconds always returns 0,0
535,Generic Java Framework to Manage Bidirectional Associations and Inverse Updates,0
536,Change new projects warning level in VS2008 (Express),0
537,SQL Server 2005 Full Text Search over multiple tables and columns,0
538,Client-Server Application with Plug-in Architecture,2
539,VS2010 (Express) debugger trapping Ctrl+C in Console app,2
540,Check if element at position [x] exists in the list,1
541,How can GNOME keyrings be accessed from Ruby?,1
542,Where is the best place to associate a 'form display text' with SQLAlchemy mapped property?,1
543,Does not exist in current context c#,2
544,Querying associated collection using MongoMapper scopes?,0
545,Windows based MySQL profiling tool,1
546,"""No such file or directory"" but it exists",1
547,Override reversed(...) in Python 2.5,2
548,Losing SVN history on files during refactoring,2
549,java: combined instanceof and cast?,2
550,Programs running aapt in android sdk from shell and from sbt,0
551,Three20 : how to pass a class of objects between 2 views,1
552,Auto-submitting a form with jquery,0
553,LinqtoSQL with a where clause containing a List?,1
554,Time complexity of Hash table,0
555,Passing SQL Server connection around (node to c#),2
556,Null pointer exception when ran outside netbeans,2
557,How do I pass a property expression back to the controller?,1
558,"Codeigniter Form Helper - How to add additional parameters to ""select"" control?",1
559,maintaining cache state in different servers,2
560,UITableView Does not show data in ipad app,0
561,ruby on rails link_to an image,1
562,DragDropEffect.Copy Resets itself to None,2
563,To display PDF in webview using google doc service in offline mode,1
564,Problems loading external script that worked when I loaded it from my view,0
565,iOS7 compatibility with App on iPad,2
566,How to send custom message to one friend using iOS facebook-graph-api?,2
567,Cannot access Java resource when packaged in Mac app bundle,2
568,Table scan on internal tables,0
569,Error installing WCF Data Service Client for Windows Store Apps version 2,2
570,Why do the following program leaks memory?,0
571,Android view .setTranslationY() view cropped,2
572,SQL Server : query with multiple LEFT OUTER JOIN and WHERE conditions,0
573,Is it perfectly legal to declare a pure virtual function twice (in two classes in an hierarchy),0
574,Can not run grails project. Server fails to start,2
575,Tracking an email,1
576,Codeigniter where clause is not working,2
577,Java Sorting alphabet and get position number,1
578,Javascript create Object by array,1
579,Installing Google play/Chrome browser on genymotion,2
580,JQuery .html() and .text() returning empty values in Production,1
581,DataTemplate in Silverlight 5 to show list data,1
582,Can't run emulator in XCode 5,1
583,How do I use classes from an imported library in netbeans (java),1
584,How to Change Foreground Color of Image in View,1
585,iOS : Inserting multiple rows in UITableview with insertRowsAtIndexPaths,0
586,my link button working only on load of lightbox,0
587,Android count number of times user changes orientation,1
588,How to disable specific dates in Magento Order Delivery Date extensions calendar,0
589,Navigation error,2
590,Nuxeo studio and custom UI possibility,0
591,Triple nested quotes in XML,1
592,Which is economical for getting Date in String format? creating date objects every time or using date instance thru calendar object,1
593,UITabBarController show views only if logged in,1
594,"how do i correctly use clip-rule=""evenodd"" so i can cut one shape out of another?",1
595,Finding each rows closest value within the same table,1
596,for loop reading files line by line,1
597,Google Analytics API V3 - HTTP Error: Unable to connect on live server (localhost works fine),2
598,Event ports with Firebird 1.0.3 and firewall setup,1
599,"Why would you choose to use the ternary operator (?:) over a ""traditional"" if..else block?",0
600,Put an image over capture image from camera,1
601,math.random function with step option?,1
602,CSS Float Left and then Right,2
603,Query of Queries failing in Coldfusion 10,0
604,get the ids when more than one checkbox is checked,0
605,how to login in the same form for admin and user,1
606,What is the point of using a 2d TextureRegion array?,0
607,What is the proper way to use codecs' encoding in Python?,0
608,errors with adding cordova sms plugin in worklight 6.0,1
609,programming WHERE section in sql,1
610,"Android CTS: ""Error during Sync: timeout""",2
611,Export all AD data via Get-ADUser,0
612,Simple way to any checkbox cheked or any inputbox filled,0
613,SSH Error while trying to connect to Google Compute Instance,2
614,"What are the numbers such as -100, +100, -200, +200 and etc, when using ta-lib in Python?",0
